"","mock1","mock2","mock3","hrcc1","hrcc2","hrcc3"
"AT3G02070",22,8,20,29,31,35
"AT3G02080",113,114,295,140,102,362
"AT3G02090",239,231,610,426,257,829
"AT3G02110",5,14,43,12,0,10
"AT3G02130",15,7,53,19,9,33
"AT3G02140",10,5,4,26,8,20
"AT3G02150",36,44,70,80,59,119
"AT3G02170",136,59,123,120,83,222
"AT3G02180",145,193,558,132,108,488
"AT3G02190",24,41,25,45,17,45
"AT3G02200",51,48,98,75,47,155
"AT3G02220",53,32,98,97,29,85
"AT3G02230",103,100,276,337,169,984
"AT3G02250",33,21,76,20,35,49
"AT3G02260",113,119,232,202,117,338
"AT3G02280",13,39,27,16,12,38
"AT3G02290",29,24,16,15,13,15
"AT3G02300",48,35,53,44,28,51
"AT3G02320",11,13,22,24,16,40
"AT3G02340",91,41,46,72,46,53
"AT3G02350",65,40,235,71,34,236
"AT3G02360",293,172,221,409,215,479
"AT3G02400",18,27,31,47,13,43
"AT3G02420",51,35,141,84,61,266
"AT3G02450",81,82,146,87,27,95
"AT3G02460",49,32,41,40,33,42
"AT3G02480",11,12,12,7,11,42
"AT3G02490",27,21,8,13,5,12
"AT3G02510",21,17,41,36,10,49
"AT3G02515",7,19,7,18,32,8
"AT3G02520",346,299,339,467,196,618
"AT3G02530",26,26,63,42,28,92
"AT3G02540",72,80,357,118,47,326
"AT3G02550",26,8,3,11,27,20
"AT3G02555",13,13,25,16,10,22
"AT3G02560",57,92,113,74,45,124
"AT3G02570",96,96,218,125,61,203
"AT3G02580",91,86,190,111,66,166
"AT3G02600",38,61,141,60,26,126
"AT3G02630",85,42,118,63,39,75
"AT3G02650",38,38,43,25,14,53
"AT3G02660",30,66,59,29,10,30
"AT3G02690",93,70,130,58,27,59
"AT3G02700",32,21,27,37,6,28
"AT3G02710",47,101,86,115,33,106
"AT3G02720",79,56,248,51,14,214
"AT3G02730",554,364,243,212,168,152
"AT3G02740",25,45,69,40,32,67
"AT3G02750",84,113,118,90,60,121
"AT3G02760",118,118,135,97,71,160
"AT3G02770",59,38,125,58,12,91
"AT3G02780",129,109,184,140,81,275
"AT3G02790",38,17,28,44,22,35
"AT3G02830",147,145,290,59,77,165
"AT3G02840",12,2,9,24,34,27
"AT3G02860",24,30,42,36,23,55
"AT3G02870",39,53,49,25,21,46
"AT3G02875",42,33,27,93,53,81
"AT3G02880",104,93,107,170,114,374
"AT3G02890",13,9,20,14,8,25
"AT3G02900",38,35,75,38,24,61
"AT3G02910",133,212,349,173,117,243
"AT3G02920",5,5,33,14,7,50
"AT3G02950",32,28,28,31,11,34
"AT3G03010",28,11,88,25,15,62
"AT3G03020",39,38,58,48,96,93
"AT3G03040",10,14,19,9,2,16
"AT3G03050",63,64,58,56,51,82
"AT3G03060",9,8,48,22,22,88
"AT3G03070",145,91,338,224,149,303
"AT3G03090",10,15,21,32,13,39
"AT3G03100",165,210,212,218,93,255
"AT3G03110",25,43,53,31,33,81
"AT3G03120",19,23,16,8,11,25
"AT3G03140",23,47,26,37,27,34
"AT3G03150",625,510,1894,534,369,1119
"AT3G03160",50,24,33,85,20,64
"AT3G03210",7,87,22,10,44,28
"AT3G03220",15,25,36,40,15,52
"AT3G03250",125,128,472,129,120,320
"AT3G03270",99,110,120,94,55,231
"AT3G03300",16,7,33,23,9,24
"AT3G03305",22,28,55,35,19,77
"AT3G03310",15,9,4,16,8,8
"AT3G03330",18,13,28,27,25,30
"AT3G03340",93,138,76,106,73,86
"AT3G03341",26,24,15,7,8,23
"AT3G03380",48,49,102,94,62,129
"AT3G03420",15,11,22,12,7,21
"AT3G03440",32,39,51,44,39,73
"AT3G03470",183,151,160,212,92,139
"AT3G03490",45,32,18,36,22,13
"AT3G03550",57,82,137,78,57,158
"AT3G03560",57,47,118,101,36,99
"AT3G03570",11,19,63,40,37,89
"AT3G03600",41,34,166,46,34,191
"AT3G03610",36,20,55,78,29,75
"AT3G03630",9,16,100,17,16,45
"AT3G03640",199,180,151,135,76,130
"AT3G03690",15,14,93,57,22,56
"AT3G03710",41,72,84,16,9,42
"AT3G03720",33,50,81,74,16,88
"AT3G03740",118,86,89,114,47,114
"AT3G03750",21,23,31,24,4,66
"AT3G03770",37,85,145,37,29,66
"AT3G03780",124,187,686,260,164,790
"AT3G03790",46,34,72,40,35,95
"AT3G03810",20,33,32,16,41,27
"AT3G03855",8,13,21,29,16,50
"AT3G03860",73,58,63,76,73,86
"AT3G03870",93,60,66,107,73,85
"AT3G03880",3,14,19,16,10,19
"AT3G03890",97,110,236,143,95,218
"AT3G03920",130,193,329,236,127,608
"AT3G03940",67,118,171,159,106,209
"AT3G03950",34,20,91,66,36,99
"AT3G03960",65,67,143,74,39,190
"AT3G03980",35,22,52,4,3,31
"AT3G03990",212,201,909,301,170,1113
"AT3G04010",71,65,84,142,198,146
"AT3G04030",19,18,67,69,41,59
"AT3G04060",58,24,34,38,17,53
"AT3G04070",104,38,49,151,151,150
"AT3G04080",24,34,61,54,26,100
"AT3G04090",138,102,109,150,79,261
"AT3G04110",14,9,24,48,13,50
"AT3G04120",607,583,688,946,640,1419
"AT3G04160",21,8,17,13,8,11
"AT3G04210",151,52,179,189,51,133
"AT3G04230",13,9,9,20,7,24
"AT3G04240",63,75,208,147,81,272
"AT3G04260",153,164,203,84,85,138
"AT3G04310",54,25,20,22,8,19
"AT3G04340",78,56,88,42,36,53
"AT3G04350",24,19,30,34,26,36
"AT3G04400",331,304,239,502,252,260
"AT3G04460",11,19,39,16,20,29
"AT3G04470",36,51,68,77,26,101
"AT3G04480",58,35,74,32,33,64
"AT3G04490",30,27,42,39,13,49
"AT3G04500",53,56,67,63,44,82
"AT3G04520",19,14,39,27,15,37
"AT3G04550",1235,1741,2490,744,298,1580
"AT3G04560",15,11,41,37,10,35
"AT3G04580",31,15,18,35,45,37
"AT3G04590",104,110,108,113,65,241
"AT3G04600",41,52,114,60,42,153
"AT3G04605",33,38,38,54,27,83
"AT3G04610",48,42,104,60,27,147
"AT3G04620",9,12,16,19,15,14
"AT3G04630",22,33,26,35,22,29
"AT3G04640",102,79,76,90,40,199
"AT3G04650",17,60,100,44,30,76
"AT3G04670",34,31,18,56,19,44
"AT3G04680",10,12,31,21,7,35
"AT3G04710",23,22,22,19,3,35
"AT3G04720",41,35,49,127,55,163
"AT3G04730",164,181,80,118,74,75
"AT3G04740",21,37,52,34,16,83
"AT3G04760",92,94,176,74,47,108
"AT3G04780",73,25,22,38,30,28
"AT3G04790",290,392,575,262,134,600
"AT3G04810",40,29,48,14,10,47
"AT3G04820",10,11,42,21,10,49
"AT3G04830",140,95,80,138,52,116
"AT3G04840",194,301,944,333,233,1257
"AT3G04870",146,187,200,131,54,155
"AT3G04880",25,24,53,41,14,56
"AT3G04890",16,28,32,10,8,22
"AT3G04910",231,281,153,257,136,241
"AT3G04920",83,100,93,115,84,114
"AT3G04930",55,55,148,93,64,201
"AT3G04940",42,30,58,23,10,35
"AT3G04970",15,12,16,15,15,25
"AT3G05000",25,61,162,57,14,232
"AT3G05010",26,30,35,29,16,38
"AT3G05020",32,32,39,21,8,18
"AT3G05030",89,58,95,22,10,21
"AT3G05040",17,16,47,25,28,50
"AT3G05050",24,38,44,57,23,70
"AT3G05060",144,175,225,102,94,240
"AT3G05070",46,50,35,21,4,32
"AT3G05090",59,62,91,71,58,110
"AT3G05100",19,35,107,30,11,54
"AT3G05120",53,59,54,16,27,32
"AT3G05130",40,134,68,58,13,50
"AT3G05160",57,87,64,67,38,52
"AT3G05165",78,93,89,108,77,118
"AT3G05170",31,43,12,24,29,11
"AT3G05180",26,21,70,23,16,20
"AT3G05200",53,17,73,82,58,240
"AT3G05210",45,44,77,33,34,126
"AT3G05220",2146,2275,2290,4617,1611,5676
"AT3G05230",16,96,91,79,50,146
"AT3G05250",15,2,19,31,14,22
"AT3G05270",47,68,38,42,18,40
"AT3G05280",64,62,233,151,73,336
"AT3G05290",11,69,52,69,59,106
"AT3G05320",21,30,7,27,23,18
"AT3G05345",13,10,37,8,17,24
"AT3G05350",66,84,141,76,39,123
"AT3G05360",5,1,10,20,9,37
"AT3G05370",9,20,31,44,9,34
"AT3G05380",14,14,53,52,33,107
"AT3G05410",8,16,21,0,12,8
"AT3G05420",44,45,66,67,23,119
"AT3G05490",42,68,59,31,30,84
"AT3G05500",181,149,298,292,161,471
"AT3G05510",24,15,39,28,13,56
"AT3G05520",41,55,64,33,15,47
"AT3G05530",195,163,447,245,114,563
"AT3G05545",77,104,169,120,48,163
"AT3G05560",95,64,243,160,156,327
"AT3G05580",10,8,20,23,22,22
"AT3G05590",151,201,149,173,69,184
"AT3G05625",34,27,142,32,26,88
"AT3G05640",88,99,141,120,35,115
"AT3G05650",34,18,212,37,44,110
"AT3G05660",28,29,124,60,25,109
"AT3G05670",150,192,116,188,108,209
"AT3G05680",105,99,153,113,90,195
"AT3G05700",26,28,34,23,20,37
"AT3G05710",13,41,33,41,8,55
"AT3G05727",0,29,4,12,38,0
"AT3G05730",59,81,86,81,54,87
"AT3G05750",20,21,24,5,11,19
"AT3G05760",121,119,74,154,53,127
"AT3G05800",45,72,74,40,20,39
"AT3G05810",9,12,12,44,14,24
"AT3G05830",21,22,14,21,22,20
"AT3G05840",201,137,336,254,160,308
"AT3G05850",16,12,35,34,6,32
"AT3G05880",1054,905,1034,775,809,502
"AT3G05910",111,113,114,60,28,76
"AT3G05936",17,30,22,20,13,7
"AT3G05937",30,35,58,27,22,68
"AT3G05940",20,22,31,19,6,28
"AT3G05970",229,165,369,391,173,625
"AT3G05990",65,89,55,75,44,127
"AT3G06010",63,44,43,64,24,57
"AT3G06020",1,4,17,3,14,21
"AT3G06035",60,62,226,53,21,109
"AT3G06040",36,44,47,35,40,72
"AT3G06050",93,100,175,80,24,143
"AT3G06060",80,59,156,70,58,115
"AT3G06070",317,104,275,109,100,328
"AT3G06080",177,94,129,131,82,129
"AT3G06110",69,105,62,76,43,55
"AT3G06125",32,4,9,27,30,9
"AT3G06130",6,6,21,11,11,17
"AT3G06140",23,52,45,9,16,18
"AT3G06145",9,11,22,5,2,18
"AT3G06150",45,31,29,18,11,24
"AT3G06170",70,91,105,95,50,130
"AT3G06180",99,116,85,90,47,151
"AT3G06190",61,43,63,54,43,77
"AT3G06200",55,103,333,117,92,403
"AT3G06210",10,2,24,10,1,19
"AT3G06240",17,19,20,20,16,27
"AT3G06250",10,17,29,23,8,55
"AT3G06270",22,39,43,60,16,75
"AT3G06290",44,38,67,37,22,102
"AT3G06300",29,73,29,65,69,89
"AT3G06310",31,20,16,21,1,7
"AT3G06330",40,30,64,29,10,60
"AT3G06340",28,36,51,28,3,53
"AT3G06350",156,93,256,381,267,944
"AT3G06380",96,85,186,129,124,238
"AT3G06400",171,175,180,193,106,232
"AT3G06410",36,99,127,105,57,175
"AT3G06420",27,13,36,45,30,40
"AT3G06430",28,41,66,40,20,36
"AT3G06433",15,19,22,23,24,19
"AT3G06440",6,18,28,28,22,25
"AT3G06450",113,79,53,61,7,72
"AT3G06455",19,26,13,28,10,17
"AT3G06470",89,70,251,113,104,279
"AT3G06480",48,58,93,53,50,181
"AT3G06483",135,162,186,111,68,137
"AT3G06490",3,6,9,24,25,41
"AT3G06500",282,331,381,501,352,597
"AT3G06510",222,174,448,170,93,323
"AT3G06530",20,37,61,21,16,54
"AT3G06540",59,87,104,96,55,95
"AT3G06550",88,101,195,138,82,155
"AT3G06580",109,51,142,86,51,165
"AT3G06590",45,21,99,41,28,133
"AT3G06610",22,29,56,24,15,39
"AT3G06620",33,38,44,45,22,42
"AT3G06650",116,76,182,113,51,194
"AT3G06660",22,25,22,31,9,22
"AT3G06670",82,66,66,88,41,129
"AT3G06680",38,46,305,76,37,240
"AT3G06700",132,172,757,290,189,716
"AT3G06720",119,100,167,83,73,225
"AT3G06730",21,69,59,17,7,26
"AT3G06740",12,26,14,2,10,10
"AT3G06750",77,126,49,66,16,32
"AT3G06760",41,82,60,55,53,96
"AT3G06780",101,86,59,99,52,96
"AT3G06790",18,19,145,13,24,119
"AT3G06810",105,140,115,163,85,185
"AT3G06820",12,7,18,24,8,23
"AT3G06830",5,103,7,15,66,7
"AT3G06850",23,15,53,21,21,47
"AT3G06860",216,183,405,359,217,704
"AT3G06890",11,17,7,21,13,27
"AT3G06930",22,15,45,20,13,51
"AT3G06940",9,19,34,23,17,34
"AT3G06950",25,36,20,19,9,22
"AT3G06960",90,73,551,91,56,408
"AT3G06980",112,114,181,69,19,76
"AT3G07010",14,42,18,8,35,5
"AT3G07020",30,12,52,39,15,65
"AT3G07030",218,211,318,168,67,329
"AT3G07040",16,11,21,32,19,27
"AT3G07050",185,187,371,196,105,654
"AT3G07080",10,8,38,8,6,35
"AT3G07090",72,34,188,128,67,281
"AT3G07100",136,120,259,215,122,396
"AT3G07110",46,68,137,63,36,121
"AT3G07140",37,15,57,21,10,45
"AT3G07160",135,115,194,167,103,260
"AT3G07170",47,41,43,67,34,92
"AT3G07180",51,71,102,76,33,92
"AT3G07195",45,17,180,161,220,666
"AT3G07210",4,18,24,12,10,15
"AT3G07220",84,103,59,80,29,93
"AT3G07230",155,172,515,157,154,418
"AT3G07270",55,138,91,61,74,81
"AT3G07280",94,222,50,114,125,51
"AT3G07300",7,28,70,32,10,88
"AT3G07310",162,143,134,50,46,86
"AT3G07320",25,42,54,34,37,62
"AT3G07330",35,46,94,56,23,108
"AT3G07350",35,19,14,32,36,43
"AT3G07360",79,82,72,45,18,56
"AT3G07370",46,29,27,61,32,51
"AT3G07390",304,256,486,816,471,2109
"AT3G07400",36,17,46,12,17,58
"AT3G07420",18,23,14,10,9,14
"AT3G07430",228,325,254,218,132,280
"AT3G07440",18,29,15,19,2,21
"AT3G07460",123,117,165,53,35,79
"AT3G07470",135,153,263,121,71,183
"AT3G07480",114,110,223,131,75,369
"AT3G07510",14,9,27,15,12,19
"AT3G07520",8,0,23,18,4,21
"AT3G07540",35,52,46,8,12,15
"AT3G07550",17,26,12,15,13,12
"AT3G07560",444,374,484,387,144,686
"AT3G07565",22,21,20,29,13,33
"AT3G07568",42,17,70,45,46,47
"AT3G07570",49,28,98,100,37,95
"AT3G07580",4,10,10,16,2,36
"AT3G07590",12,11,25,23,10,26
"AT3G07610",39,34,76,41,16,83
"AT3G07630",23,36,60,45,31,86
"AT3G07640",47,86,161,101,81,185
"AT3G07650",107,104,196,139,92,236
"AT3G07660",80,194,402,113,88,573
"AT3G07670",89,143,209,67,76,150
"AT3G07680",109,112,232,246,194,504
"AT3G07690",25,14,12,49,16,27
"AT3G07700",169,126,275,145,111,335
"AT3G07720",291,285,173,410,134,274
"AT3G07740",26,23,22,30,8,27
"AT3G07750",12,1,18,9,12,28
"AT3G07760",45,78,75,104,67,106
"AT3G07770",50,43,176,92,55,181
"AT3G07780",862,717,595,941,271,1161
"AT3G07790",71,56,62,94,51,88
"AT3G07800",25,23,8,36,22,21
"AT3G07810",77,125,196,149,118,231
"AT3G07870",29,46,68,87,40,79
"AT3G07880",99,79,225,109,63,241
"AT3G07890",57,50,60,98,63,69
"AT3G07910",22,31,147,45,33,130
"AT3G07940",37,46,40,55,24,36
"AT3G07950",44,37,35,37,24,46
"AT3G07960",13,16,7,14,21,12
"AT3G07980",20,13,46,20,19,60
"AT3G08000",22,1,17,12,9,8
"AT3G08010",330,269,653,351,254,357
"AT3G08020",23,89,28,30,76,29
"AT3G08030",225,199,1018,139,113,439
"AT3G08505",11,7,35,10,6,37
"AT3G08510",654,601,1211,681,487,826
"AT3G08530",230,208,474,369,242,708
"AT3G08550",64,45,70,91,41,76
"AT3G08580",654,633,2328,1117,430,3301
"AT3G08590",94,117,299,96,97,313
"AT3G08600",112,225,81,42,31,53
"AT3G08610",297,293,205,314,136,205
"AT3G08620",4,36,29,28,15,32
"AT3G08630",35,16,25,31,9,34
"AT3G08640",58,69,136,140,62,255
"AT3G08650",133,130,140,230,92,231
"AT3G08670",106,140,232,133,98,268
"AT3G08680",37,54,138,48,39,168
"AT3G08690",47,32,68,81,23,87
"AT3G08710",56,19,139,80,53,172
"AT3G08720",17,20,61,44,15,102
"AT3G08730",134,117,185,108,70,185
"AT3G08740",99,72,204,52,47,94
"AT3G08760",51,77,44,75,45,99
"AT3G08780",29,17,19,15,7,56
"AT3G08840",32,21,24,22,11,27
"AT3G08850",104,94,209,143,65,304
"AT3G08870",7,4,49,18,6,44
"AT3G08880",14,25,21,26,31,20
"AT3G08890",10,12,13,12,7,14
"AT3G08910",11,63,29,12,48,32
"AT3G08920",34,52,43,17,15,29
"AT3G08930",68,78,188,95,37,238
"AT3G08940",2419,1519,3024,1123,413,1515
"AT3G08943",8,52,48,25,15,68
"AT3G08950",11,15,41,37,9,55
"AT3G08960",27,25,69,34,15,86
"AT3G08970",13,9,40,69,31,126
"AT3G09000",24,50,52,58,48,75
"AT3G09010",19,14,34,55,51,77
"AT3G09020",21,3,10,28,9,17
"AT3G09030",34,34,62,27,10,89
"AT3G09035",13,8,23,18,1,20
"AT3G09050",118,87,165,57,85,79
"AT3G09070",116,149,70,67,37,86
"AT3G09090",74,65,124,97,48,186
"AT3G09100",26,17,57,36,19,97
"AT3G09150",27,12,25,16,5,11
"AT3G09180",16,30,49,49,17,66
"AT3G09200",262,337,715,307,183,945
"AT3G09210",84,105,322,78,29,250
"AT3G09230",9,21,24,48,17,41
"AT3G09250",70,54,106,66,41,79
"AT3G09270",33,42,11,28,41,14
"AT3G09300",35,49,88,73,19,88
"AT3G09320",14,11,35,26,14,37
"AT3G09350",49,54,38,54,43,61
"AT3G09360",33,27,53,56,30,94
"AT3G09370",3,9,17,19,10,23
"AT3G09390",2743,2599,1764,2430,1715,2804
"AT3G09405",11,22,10,13,25,24
"AT3G09410",10,19,72,20,9,40
"AT3G09440",1746,1309,2493,2668,1213,5038
"AT3G09470",39,22,40,31,30,36
"AT3G09490",40,17,144,119,77,289
"AT3G09500",138,199,433,205,133,565
"AT3G09540",55,26,185,72,38,115
"AT3G09560",20,29,49,68,32,66
"AT3G09570",56,38,99,52,49,121
"AT3G09580",39,28,70,11,4,40
"AT3G09630",129,235,538,248,133,885
"AT3G09650",115,113,299,68,53,187
"AT3G09670",11,16,28,12,5,30
"AT3G09690",5,10,29,23,12,31
"AT3G09710",12,19,31,20,1,26
"AT3G09720",15,9,21,23,18,48
"AT3G09735",86,72,284,177,106,321
"AT3G09740",61,80,96,124,83,137
"AT3G09760",12,25,36,15,10,38
"AT3G09770",229,403,246,223,123,271
"AT3G09800",15,4,28,18,12,7
"AT3G09810",29,28,109,60,33,187
"AT3G09820",117,138,673,127,94,680
"AT3G09830",19,25,59,111,57,149
"AT3G09840",1060,845,1566,1552,687,2530
"AT3G09850",88,140,146,130,82,204
"AT3G09860",350,345,365,251,126,266
"AT3G09880",37,64,91,62,41,81
"AT3G09890",21,14,19,18,5,15
"AT3G09900",24,27,27,16,19,23
"AT3G09920",62,36,70,113,55,86
"AT3G09940",29,36,56,156,23,146
"AT3G09970",42,37,68,59,32,75
"AT3G09980",222,156,159,104,86,152
"AT3G10010",22,9,44,17,7,52
"AT3G10020",3937,2049,652,1339,666,621
"AT3G10030",48,14,37,48,24,45
"AT3G10040",19,37,23,21,14,13
"AT3G10050",9,37,94,60,30,154
"AT3G10060",136,100,298,148,81,136
"AT3G10070",34,35,178,63,43,191
"AT3G10080",26,42,213,37,36,161
"AT3G10090",28,27,23,31,28,24
"AT3G10120",12,7,24,9,11,25
"AT3G10130",113,68,206,102,51,113
"AT3G10140",13,19,18,15,2,6
"AT3G10160",28,31,76,28,15,56
"AT3G10190",0,63,19,5,23,9
"AT3G10210",26,34,67,43,18,64
"AT3G10220",24,21,29,28,11,31
"AT3G10230",63,49,79,38,26,42
"AT3G10250",49,46,52,49,50,62
"AT3G10260",52,67,62,158,35,75
"AT3G10270",49,23,81,20,22,51
"AT3G10300",120,141,444,190,119,838
"AT3G10310",0,32,3,12,7,2
"AT3G10330",23,14,35,19,14,39
"AT3G10350",127,127,221,114,42,158
"AT3G10360",50,27,50,20,20,52
"AT3G10370",59,63,96,69,34,144
"AT3G10380",75,88,183,141,130,235
"AT3G10390",5,22,24,12,9,40
"AT3G10400",63,39,70,51,40,97
"AT3G10405",65,36,72,28,22,31
"AT3G10410",298,246,279,223,112,257
"AT3G10420",161,76,102,136,68,160
"AT3G10450",26,21,22,10,6,7
"AT3G10480",86,49,73,68,44,99
"AT3G10490",62,39,100,69,42,160
"AT3G10500",24,29,40,46,38,49
"AT3G10520",83,129,100,50,34,47
"AT3G10525",129,92,72,50,29,46
"AT3G10530",15,26,60,47,38,92
"AT3G10540",9,18,28,19,19,27
"AT3G10550",14,16,36,14,8,39
"AT3G10572",7,22,36,10,19,23
"AT3G10610",12,30,47,17,24,69
"AT3G10620",39,44,45,23,21,45
"AT3G10630",13,30,14,13,2,15
"AT3G10640",56,50,53,101,67,67
"AT3G10650",57,78,261,101,93,320
"AT3G10670",222,158,946,302,149,960
"AT3G10680",24,44,8,10,13,7
"AT3G10690",26,32,108,67,27,109
"AT3G10700",13,9,19,5,2,18
"AT3G10720",22,9,29,18,9,51
"AT3G10730",40,38,50,74,27,107
"AT3G10740",107,62,86,69,45,68
"AT3G10760",36,40,86,52,37,67
"AT3G10770",121,87,145,120,74,182
"AT3G10800",90,65,195,169,85,340
"AT3G10810",47,59,125,62,58,122
"AT3G10840",26,47,69,24,17,56
"AT3G10850",243,260,285,157,93,224
"AT3G10860",449,439,251,389,178,480
"AT3G10915",13,29,31,33,25,32
"AT3G10920",291,331,296,301,125,270
"AT3G10940",34,28,31,11,15,9
"AT3G10960",33,38,24,50,29,56
"AT3G10970",167,150,301,186,97,206
"AT3G10980",42,24,32,65,22,37
"AT3G10985",208,106,530,443,259,1080
"AT3G11010",33,8,154,38,12,45
"AT3G11020",26,32,29,15,18,12
"AT3G11030",56,28,60,35,28,88
"AT3G11070",18,25,50,13,13,45
"AT3G11090",13,11,38,15,9,24
"AT3G11100",104,74,68,103,32,97
"AT3G11110",77,70,111,22,35,23
"AT3G11120",218,415,412,296,131,290
"AT3G11130",184,160,355,409,155,614
"AT3G11170",420,498,1098,607,505,896
"AT3G11200",137,104,190,151,117,240
"AT3G11220",15,39,26,12,24,23
"AT3G11230",73,50,25,46,42,39
"AT3G11240",17,15,12,21,8,9
"AT3G11250",46,23,138,47,30,110
"AT3G11270",23,36,59,51,23,67
"AT3G11280",154,136,196,102,62,239
"AT3G11290",19,26,52,29,10,41
"AT3G11320",57,24,84,72,64,123
"AT3G11330",80,49,145,117,67,290
"AT3G11340",222,82,995,1199,625,2738
"AT3G11397",36,24,102,49,30,113
"AT3G11400",164,100,309,139,115,415
"AT3G11402",17,90,66,58,44,85
"AT3G11410",93,89,111,84,39,97
"AT3G11420",29,117,79,60,37,101
"AT3G11450",143,147,156,160,90,218
"AT3G11500",25,13,55,12,14,31
"AT3G11510",114,157,266,174,99,248
"AT3G11530",49,40,60,51,13,74
"AT3G11540",43,30,94,51,24,100
"AT3G11560",77,49,192,78,59,169
"AT3G11580",89,124,118,76,59,151
"AT3G11590",44,55,56,45,40,48
"AT3G11620",14,25,31,7,4,21
"AT3G11630",920,844,2535,823,419,1357
"AT3G11650",46,29,90,19,16,162
"AT3G11660",697,749,1051,695,420,740
"AT3G11670",82,65,73,48,37,81
"AT3G11690",12,18,22,32,23,29
"AT3G11700",124,88,161,80,72,133
"AT3G11710",102,123,281,174,89,470
"AT3G11730",19,16,38,20,22,48
"AT3G11760",6,14,9,17,16,8
"AT3G11770",30,11,40,13,13,42
"AT3G11780",138,111,150,130,71,194
"AT3G11800",104,117,464,116,105,767
"AT3G11810",202,152,125,159,127,116
"AT3G11820",131,66,124,229,129,359
"AT3G11830",81,84,133,131,38,237
"AT3G11840",24,15,114,117,35,211
"AT3G11850",28,14,18,26,4,36
"AT3G11880",53,59,89,138,92,127
"AT3G11890",37,58,60,30,41,55
"AT3G11900",40,64,47,43,22,40
"AT3G11910",96,136,244,152,97,285
"AT3G11930",869,637,522,1235,517,1034
"AT3G11940",202,169,417,278,98,636
"AT3G11945",104,59,260,101,54,194
"AT3G11950",8,12,7,18,16,13
"AT3G11960",18,31,84,32,26,95
"AT3G11964",23,14,72,56,17,85
"AT3G12020",66,51,64,81,21,84
"AT3G12030",13,15,74,31,36,82
"AT3G12040",3,4,15,20,17,23
"AT3G12050",202,171,112,201,67,157
"AT3G12080",95,104,437,100,44,284
"AT3G12090",14,14,22,11,2,20
"AT3G12100",18,7,30,34,2,48
"AT3G12120",1347,1409,1824,1032,543,1838
"AT3G12130",46,30,82,78,37,128
"AT3G12140",68,46,87,102,51,118
"AT3G12145",45,79,139,102,88,129
"AT3G12150",20,27,17,18,12,22
"AT3G12180",47,39,166,45,52,150
"AT3G12200",23,35,71,40,13,80
"AT3G12210",60,37,126,30,30,103
"AT3G12260",123,123,1083,234,98,684
"AT3G12270",22,40,52,56,21,66
"AT3G12280",40,57,79,41,36,131
"AT3G12290",194,154,218,172,64,201
"AT3G12300",23,12,9,10,11,15
"AT3G12340",9,16,16,28,27,29
"AT3G12345",214,199,444,172,96,245
"AT3G12350",7,22,30,27,6,42
"AT3G12360",120,74,149,154,56,183
"AT3G12370",18,20,118,25,28,153
"AT3G12380",26,23,31,40,22,42
"AT3G12390",123,126,160,150,47,193
"AT3G12400",52,57,134,133,61,266
"AT3G12480",125,107,136,112,61,267
"AT3G12490",232,250,351,198,116,450
"AT3G12510",18,6,17,15,10,27
"AT3G12520",4,17,23,2,7,14
"AT3G12550",12,15,16,19,21,23
"AT3G12560",25,63,50,54,44,49
"AT3G12570",36,27,92,46,32,134
"AT3G12580",200,171,187,311,166,462
"AT3G12587",29,10,15,13,7,6
"AT3G12590",23,15,58,42,22,54
"AT3G12600",44,83,20,53,18,34
"AT3G12620",70,67,86,109,53,142
"AT3G12630",134,100,245,493,239,417
"AT3G12640",26,58,59,38,40,51
"AT3G12650",27,9,40,16,14,46
"AT3G12670",65,27,51,33,22,46
"AT3G12680",39,49,102,41,32,113
"AT3G12685",42,77,113,34,18,59
"AT3G12700",14,29,63,14,13,69
"AT3G12730",30,14,30,22,4,24
"AT3G12740",291,163,466,427,216,815
"AT3G12760",68,35,112,86,47,168
"AT3G12780",1944,2085,2582,1494,487,2032
"AT3G12800",172,187,269,280,159,357
"AT3G12810",35,113,41,67,84,83
"AT3G12830",15,15,30,22,15,46
"AT3G12860",13,35,19,32,7,24
"AT3G12915",7,12,23,12,5,16
"AT3G12920",21,36,116,63,36,105
"AT3G12930",76,46,171,28,22,74
"AT3G12940",6,5,20,16,6,28
"AT3G12950",56,38,58,33,24,45
"AT3G12965",49,66,44,127,36,56
"AT3G12980",29,25,75,41,30,99
"AT3G12990",17,13,40,37,11,32
"AT3G13040",139,120,151,56,7,129
"AT3G13050",18,34,25,58,35,77
"AT3G13060",84,50,116,103,41,145
"AT3G13062",109,67,88,87,40,105
"AT3G13070",77,74,50,66,42,70
"AT3G13080",55,57,49,119,161,87
"AT3G13110",345,472,793,526,300,718
"AT3G13120",726,708,2264,503,321,1109
"AT3G13150",0,7,33,11,25,24
"AT3G13160",3,21,63,10,19,50
"AT3G13180",14,13,37,13,8,14
"AT3G13200",222,126,378,276,88,427
"AT3G13222",40,50,111,54,42,93
"AT3G13224",66,79,78,108,32,144
"AT3G13225",25,105,68,77,83,87
"AT3G13226",22,18,23,28,14,22
"AT3G13230",26,33,128,61,20,110
"AT3G13235",27,31,92,71,29,111
"AT3G13275",23,25,10,29,30,18
"AT3G13290",14,27,42,32,11,75
"AT3G13300",96,60,281,142,79,382
"AT3G13310",350,244,1175,843,425,2301
"AT3G13320",44,43,78,45,26,112
"AT3G13330",144,92,278,284,147,472
"AT3G13340",62,93,83,80,47,70
